Timestamp,TSL2561_Light,ACS712_Current,INA219_Voltage,DS18B20_Temp,MQ8_H2_Level,DHT22_Temp,DHT22_Humidity,YF_S201_Flow
2025-06-12 11:23:46.699197,505.81,15.23,17.04,30.63,0.5,26.71,54.56,5.09
2025-06-12 11:24:46.699197,496.32,15.2,17.02,30.24,0.49,26.66,55.65,5.21
2025-06-12 11:25:46.699197,504.27,15.34,16.94,30.69,0.48,26.81,55.91,5.29
2025-06-12 11:26:46.699197,508.49,15.3,16.97,30.87,0.49,26.72,56.45,5.27
2025-06-12 11:27:46.699197,510.71,15.32,16.89,31.06,0.49,27.01,57.46,5.26
2025-06-12 11:28:46.699197,509.28,15.23,16.9,31.12,0.49,27.08,57.31,5.2
2025-06-12 11:29:46.699197,518.93,15.48,16.81,31.37,0.46,27.32,58.02,5.27
2025-06-12 11:30:46.699197,521.47,15.26,16.9,31.34,0.44,27.22,58.52,5.29
2025-06-12 11:31:46.699197,521.95,15.2,16.98,31.26,0.44,26.6,58.7,5.21
2025-06-12 11:32:46.699197,519.57,15.27,16.97,31.44,0.45,26.35,58.13,5.37
2025-06-12 11:33:46.699197,512.03,15.28,16.93,31.02,0.44,26.2,58.51,5.3
2025-06-12 11:34:46.699197,510.13,15.51,16.98,31.07,0.45,26.21,58.26,5.39
2025-06-12 11:35:46.699197,518.79,15.58,17.03,30.95,0.45,25.76,57.47,5.33
2025-06-12 11:36:46.699197,515.7,15.69,16.96,31.18,0.44,26.02,57.63,5.32
2025-06-12 11:37:46.699197,511.96,15.86,16.88,31.16,0.44,26.18,58.52,5.37
2025-06-12 11:38:46.699197,521.07,15.74,16.9,30.97,0.44,26.33,59.12,5.29
2025-06-12 11:39:46.699197,529.53,16.04,16.92,30.79,0.46,26.57,59.13,5.31
2025-06-12 11:40:46.699197,537.41,15.97,16.94,30.81,0.45,26.42,58.62,5.29
2025-06-12 11:41:46.699197,533.12,15.79,16.97,30.75,0.45,26.83,58.62,5.29
2025-06-12 11:42:46.699197,540.51,16.03,17.0,31.11,0.46,26.86,58.25,5.37
2025-06-12 11:43:46.699197,543.42,16.18,17.07,31.11,0.45,26.64,58.65,5.39
2025-06-12 11:44:46.699197,539.52,16.18,17.13,31.15,0.47,26.08,57.83,5.44
2025-06-12 11:45:46.699197,540.96,16.23,17.24,31.12,0.46,25.66,57.4,5.45
2025-06-12 11:46:46.699197,538.98,16.23,17.29,31.31,0.47,25.14,57.19,5.38
2025-06-12 11:47:46.699197,539.85,16.3,17.24,31.17,0.45,25.47,57.31,5.35
2025-06-12 11:48:46.699197,541.0,16.29,17.27,31.03,0.44,25.86,57.04,5.28
2025-06-12 11:49:46.699197,533.9,16.2,17.19,31.0,0.45,26.08,56.04,5.26
2025-06-12 11:50:46.699197,539.69,16.14,17.2,31.17,0.47,26.45,55.34,5.23
2025-06-12 11:51:46.699197,533.64,16.18,17.22,31.05,0.46,26.63,54.77,5.34
2025-06-12 11:52:46.699197,539.6,16.14,17.22,30.81,0.44,26.92,54.95,5.3
2025-06-12 11:53:46.699197,525.8,16.08,17.29,31.03,0.45,27.38,55.03,5.33
2025-06-12 11:54:46.699197,524.32,15.95,17.23,31.0,0.46,27.37,55.37,5.28
2025-06-12 11:55:46.699197,526.68,15.95,17.16,30.84,0.45,27.31,55.89,5.25
2025-06-12 11:56:46.699197,519.12,15.96,17.22,31.03,0.46,27.93,56.23,5.29
2025-06-12 11:57:46.699197,524.13,15.93,17.35,31.16,0.45,28.22,56.45,5.27
2025-06-12 11:58:46.699197,536.64,15.83,17.38,31.05,0.46,27.92,56.38,5.32
2025-06-12 11:59:46.699197,536.88,15.72,17.32,31.12,0.47,28.07,56.82,5.35
2025-06-12 12:00:46.699197,539.62,15.71,17.44,30.76,0.49,27.78,56.52,5.41
2025-06-12 12:01:46.699197,539.06,15.72,17.45,30.49,0.49,28.04,56.55,5.35
2025-06-12 12:02:46.699197,540.12,15.86,17.39,30.75,0.5,27.21,56.24,5.43
2025-06-12 12:03:46.699197,544.47,15.9,17.33,30.53,0.49,27.65,56.49,5.47
2025-06-12 12:04:46.699197,547.23,15.71,17.36,30.51,0.49,27.84,56.78,5.45
2025-06-12 12:05:46.699197,542.22,15.71,17.39,30.84,0.48,28.65,57.06,5.49
2025-06-12 12:06:46.699197,541.6,15.77,17.35,30.66,0.48,29.1,57.6,5.51
2025-06-12 12:07:46.699197,545.67,15.8,17.28,30.46,0.47,28.91,56.75,5.54
2025-06-12 12:08:46.699197,546.84,15.8,17.2,30.56,0.5,28.96,57.25,5.58
2025-06-12 12:09:46.699197,546.3,15.69,17.22,30.43,0.51,29.55,58.47,5.68
2025-06-12 12:10:46.699197,543.37,15.63,17.22,30.43,0.52,29.54,58.4,5.72
2025-06-12 12:11:46.699197,549.34,15.72,17.21,30.66,0.51,29.18,58.5,5.73
2025-06-12 12:12:43.089856,501.37,14.9,16.96,29.97,0.5,26.17,54.26,4.94
2025-06-12 14:13:52.510390,484.81962524076164,15.660445745722905,16.89006766572903,29.422245637013592,0.4933504926750614,28.039558734069217,57.684530001903994,4.972412663585397
